> nor <- function(x) {
+   return ((x - min(x)) / (max(x) - min(x)))
+ }
55                    2.042695e+04
56                    1.233377e+05
57                    5.360115e+05
58                    4.262194e+05
59                    2.441748e+05
60                    8.871530e+04
61                    3.776385e+05
62                    3.021329e+05
63                    4.663447e+02
64                    1.755499e+03
65                    5.857802e+05
66                    7.742997e+04
67                    6.677755e+05
68                    3.377656e+05
69                    8.566469e+05
70                    7.530470e+04
71                    2.694305e+05
72                    7.667577e+05
73                    1.255445e+05
74                    4.633898e+05
75                    6.772167e+04
76                    6.555797e+05
77                    4.815009e+05
78                    2.240472e+05
79                    9.407016e+05
80                    2.005876e+05
81                    3.801183e+04
82                    1.893446e+01
83                    4.600022e+04
84                    1.808564e+05
85                    3.081722e+04
86                    1.412009e+04
87                    8.094629e+05
88                    1.320465e+05
89                    4.104026e+04
90                    2.643612e+04
91                    1.466521e+05
92                    8.959041e+05
93                    6.485675e+02
94                    2.854621e+05
95                    6.467544e+05
96                    2.514881e+05
97                    1.510139e+04
98                    8.784139e+03
99                    7.381309e+04
100                   1.723639e+05
> 
> skal.arg <- as.data.frame(lapply(arg, nor))
> skal.arg
    runif.100..min...1..max...100.
1                      0.331876039
2                      0.757577250
3                      0.468596443
4                      0.048747193
5                      0.422802199
6                      0.845782796
7                      0.747933824
8                      0.768509608
9                      0.115821062
10                     0.033873581
11                     0.347213936
12                     0.405276702
13                     0.464427067
14                     0.511049755
15                     0.684711918
16                     0.656539662
17                     0.609142491
18                     0.373932825
19                     0.533024239
20                     0.266522217
21                     0.566974088
22                     0.197631890
23                     0.837885220
24                     0.349360756
25                     0.757741027
26                     0.592188609
27                     0.363534031
28                     0.342007657
29                     0.070094787
30                     0.349909538
31                     0.997156319
32                     0.000000000
33                     0.637040561
34                     0.955459726
35                     0.386964894
36                     0.848232639
37                     0.686750937
38                     0.335378121
39                     1.000000000
40                     0.258661355
41                     0.191955503
42                     0.666473931
43                     0.478562122
44                     0.520792329
45                     0.333041790
46                     0.648620180
47                     0.215598494
48                     0.301430152
49                     0.141203731
50                     0.999081177
51                     0.007982695
52                     0.128314139
53                     0.011672156
54                     0.086362714
55                     0.267122791
56                     0.498393824
57                     0.822651997
58                     0.761053097
59                     0.629573834
60                     0.445025937
61                     0.730379123
62                     0.676981196
63                     0.065863671
64                     0.109970865
65                     0.847808304
66                     0.424643422
67                     0.886313074
68                     0.703171795
69                     0.964323527
70                     0.420586841
71                     0.651064273
72                     0.928802465
73                     0.501436019
74                     0.782981364
75                     0.405457984
76                     0.880793424
77                     0.793242360
78                     0.611359557
79                     0.995354965
80                     0.588696162
81                     0.331901377
82                     0.015074170
83                     0.354647313
84                     0.568223385
85                     0.308497729
86                     0.234514091
87                     0.946005696
88                     0.510196878
89                     0.340868630
90                     0.292401375
91                     0.528877544
92                     0.979057873
93                     0.075063847
94                     0.664016763
95                     0.876756394
96                     0.635943530
97                     0.240152050
98                     0.198094769
99                     0.417693956
100                    0.558952069
> 
> dane_t <- cbind(skal.arg, wynik_f)
> colnames(dane_t) <- c("arg", "wynik_f")
> 
> net.price <- neuralnet(wynik_f~arg, dane_t, hidden = c(1, 100), threshold = 0.01)
Błąd w poleceniu 'neuralnet(wynik_f ~ arg, dane_t, hidden = c(1, 100), threshold = 0.01)':
  nie udało się znaleźć funkcji 'neuralnet'
> 
> plot(net.price)
> setwd("G:/APU/APu/lab3")
> tablety <- read.csv("Tablety.csv")
> 
> cena <- normalize(tablety$cena)
> 
> cena
 [1] 0.33233018 0.27214101 0.11923187 0.05746632 0.25938664 0.40212095 0.00000000 0.01991975 0.06291201 0.04858126
[11] 1.00000000 0.59529951 0.10504443 0.16494698
> tablety
    X                                    nazwa               modem                wyswietlacz pamiec_RAM
1   1                      Apple iPad Wi-FiCCZ      WiFi 802.11 ac 9,7  , Retina, 2048 x 1536          2
2   2                 Apple iPad mini 4 Wi-Fi       WiFi 802.11 ac 7,9  , Retina, 2048 x 1536          2
3   3          Apple iPad Wi-Fi 32GB MP2G2FD/A      WiFi 802.11 ac 9,7  , Retina, 2048 x 1536          2
4   4 Samsung Galaxy Tab 3 10.1 16GB GT-P5210  WiFi 802.11 a/b/g/n 7,9  , Retina, 2048 x 1536          1
5   5        Apple iPad Wi-Fi + Cellular 128GB      WiFi 802.11 ac 9,7  , Retina, 2048 x 1536          2
6   6                 Apple iPad Pro 9,7 Wi-Fi      WiFi 802.11 ac    10,1  , TFT, 1280 x 800          1
7   7                       NavRoad Nexo 10 3G  WiFi 802.11 b/g/n, 9,7  , Retina, 2048 x 1536          2
8   8                            Apple iPad XD  WiFi 802.11 b/g/n, 9,7  , Retina, 2048 x 1536          2
9   9                           Apple iPad XII   WiFi 802.11 b/g/n    7 cali, TFT, 1024 x 600          2
10 10                           Apple iPad CDS      WiFi 802.11 ac    9,7  , IPS, 2048 x 1536          2
11 12                       Apple iPad Wi-Fi X      WiFi 802.11 ac 9,7  , Extrim, 2048 x 1536          8
12 13                       Apple iPad Wi-Fi 1      WiFi 802.11 ac 9,7  , Extrim, 2048 x 1536          6
13 14                       Apple iPad Wi-Fi 2      WiFi 802.11 ac 9,7  , Extrim, 2048 x 1536          4
14 15                       Apple iPad Wi-Fi 4      WiFi 802.11 ac 9,7  , Extrim, 2048 x 1536          8
   pamiec_wbudowana cena liczba_opini ocena status_opinii_1
1               128 2819            3     5            Mało
2                32 2399            5     4         Śdernio
3                16 1332            0     2            Brak
4               128  901            4     1         Śdernio
5                32 2310            8     4            Dużo
6                32 3306            1     2            Mało
7                32  500            2     1            Mało
8                 4  639            3     5            Mało
9                16  939            1     1            Mało
10               16  839            1     3            Mało
11              512 7478            7     5            Dużo
12              128 4654            1     4            Mało
13              254 1233            4     5         Śdernio
14               64 1651            9     3     Bardzo duzo
> tablety <- tablety[,-7]
> tablety
    X                                    nazwa               modem                wyswietlacz pamiec_RAM
1   1                      Apple iPad Wi-FiCCZ      WiFi 802.11 ac 9,7  , Retina, 2048 x 1536          2
2   2                 Apple iPad mini 4 Wi-Fi       WiFi 802.11 ac 7,9  , Retina, 2048 x 1536          2
3   3          Apple iPad Wi-Fi 32GB MP2G2FD/A      WiFi 802.11 ac 9,7  , Retina, 2048 x 1536          2
4   4 Samsung Galaxy Tab 3 10.1 16GB GT-P5210  WiFi 802.11 a/b/g/n 7,9  , Retina, 2048 x 1536          1
5   5        Apple iPad Wi-Fi + Cellular 128GB      WiFi 802.11 ac 9,7  , Retina, 2048 x 1536          2
6   6                 Apple iPad Pro 9,7 Wi-Fi      WiFi 802.11 ac    10,1  , TFT, 1280 x 800          1
7   7                       NavRoad Nexo 10 3G  WiFi 802.11 b/g/n, 9,7  , Retina, 2048 x 1536          2
8   8                            Apple iPad XD  WiFi 802.11 b/g/n, 9,7  , Retina, 2048 x 1536          2
9   9                           Apple iPad XII   WiFi 802.11 b/g/n    7 cali, TFT, 1024 x 600          2
10 10                           Apple iPad CDS      WiFi 802.11 ac    9,7  , IPS, 2048 x 1536          2
11 12                       Apple iPad Wi-Fi X      WiFi 802.11 ac 9,7  , Extrim, 2048 x 1536          8
12 13                       Apple iPad Wi-Fi 1      WiFi 802.11 ac 9,7  , Extrim, 2048 x 1536          6
13 14                       Apple iPad Wi-Fi 2      WiFi 802.11 ac 9,7  , Extrim, 2048 x 1536          4
14 15                       Apple iPad Wi-Fi 4      WiFi 802.11 ac 9,7  , Extrim, 2048 x 1536          8
   pamiec_wbudowana liczba_opini ocena status_opinii_1
1               128            3     5            Mało
2                32            5     4         Śdernio
3                16            0     2            Brak
4               128            4     1         Śdernio
5                32            8     4            Dużo
6                32            1     2            Mało
7                32            2     1            Mało
8                 4            3     5            Mało
9                16            1     1            Mało
10               16            1     3            Mało
11              512            7     5            Dużo
12              128            1     4            Mało
13              254            4     5         Śdernio
14               64            9     3     Bardzo duzo
> tablety <- tablety[,-4]
> tablety
    X                                    nazwa               modem pamiec_RAM pamiec_wbudowana liczba_opini ocena
1   1                      Apple iPad Wi-FiCCZ      WiFi 802.11 ac          2              128            3     5
2   2                 Apple iPad mini 4 Wi-Fi       WiFi 802.11 ac          2               32            5     4
3   3          Apple iPad Wi-Fi 32GB MP2G2FD/A      WiFi 802.11 ac          2               16            0     2
4   4 Samsung Galaxy Tab 3 10.1 16GB GT-P5210  WiFi 802.11 a/b/g/n          1              128            4     1
5   5        Apple iPad Wi-Fi + Cellular 128GB      WiFi 802.11 ac          2               32            8     4
6   6                 Apple iPad Pro 9,7 Wi-Fi      WiFi 802.11 ac          1               32            1     2
7   7                       NavRoad Nexo 10 3G  WiFi 802.11 b/g/n,          2               32            2     1
8   8                            Apple iPad XD  WiFi 802.11 b/g/n,          2                4            3     5
9   9                           Apple iPad XII   WiFi 802.11 b/g/n          2               16            1     1
10 10                           Apple iPad CDS      WiFi 802.11 ac          2               16            1     3
11 12                       Apple iPad Wi-Fi X      WiFi 802.11 ac          8              512            7     5
12 13                       Apple iPad Wi-Fi 1      WiFi 802.11 ac          6              128            1     4
13 14                       Apple iPad Wi-Fi 2      WiFi 802.11 ac          4              254            4     5
14 15                       Apple iPad Wi-Fi 4      WiFi 802.11 ac          8               64            9     3
   status_opinii_1
1             Mało
2          Śdernio
3             Brak
4          Śdernio
5             Dużo
6             Mało
7             Mało
8             Mało
9             Mało
10            Mało
11            Dużo
12            Mało
13         Śdernio
14     Bardzo duzo
> tablety <- tablety[,-3]
> tablety
    X                                    nazwa pamiec_RAM pamiec_wbudowana liczba_opini ocena status_opinii_1
1   1                      Apple iPad Wi-FiCCZ          2              128            3     5            Mało
2   2                 Apple iPad mini 4 Wi-Fi           2               32            5     4         Śdernio
3   3          Apple iPad Wi-Fi 32GB MP2G2FD/A          2               16            0     2            Brak
4   4 Samsung Galaxy Tab 3 10.1 16GB GT-P5210           1              128            4     1         Śdernio
5   5        Apple iPad Wi-Fi + Cellular 128GB          2               32            8     4            Dużo
6   6                 Apple iPad Pro 9,7 Wi-Fi          1               32            1     2            Mało
7   7                       NavRoad Nexo 10 3G          2               32            2     1            Mało
8   8                            Apple iPad XD          2                4            3     5            Mało
9   9                           Apple iPad XII          2               16            1     1            Mało
10 10                           Apple iPad CDS          2               16            1     3            Mało
11 12                       Apple iPad Wi-Fi X          8              512            7     5            Dużo
12 13                       Apple iPad Wi-Fi 1          6              128            1     4            Mało
13 14                       Apple iPad Wi-Fi 2          4              254            4     5         Śdernio
14 15                       Apple iPad Wi-Fi 4          8               64            9     3     Bardzo duzo
> tablety <- tablety[,-1]
> tablety
                                      nazwa pamiec_RAM pamiec_wbudowana liczba_opini ocena status_opinii_1
1                       Apple iPad Wi-FiCCZ          2              128            3     5            Mało
2                  Apple iPad mini 4 Wi-Fi           2               32            5     4         Śdernio
3           Apple iPad Wi-Fi 32GB MP2G2FD/A          2               16            0     2            Brak
4  Samsung Galaxy Tab 3 10.1 16GB GT-P5210           1              128            4     1         Śdernio
5         Apple iPad Wi-Fi + Cellular 128GB          2               32            8     4            Dużo
6                  Apple iPad Pro 9,7 Wi-Fi          1               32            1     2            Mało
7                        NavRoad Nexo 10 3G          2               32            2     1            Mało
8                             Apple iPad XD          2                4            3     5            Mało
9                            Apple iPad XII          2               16            1     1            Mało
10                           Apple iPad CDS          2               16            1     3            Mało
11                       Apple iPad Wi-Fi X          8              512            7     5            Dużo
12                       Apple iPad Wi-Fi 1          6              128            1     4            Mało
13                       Apple iPad Wi-Fi 2          4              254            4     5         Śdernio
14                       Apple iPad Wi-Fi 4          8               64            9     3     Bardzo duzo
> 
> tablety[,4:7] <- as.data.frame(lapply(tablety[,4:7], normalize))
Błąd w poleceniu '`[.data.frame`(tablety, , 4:7)':nie wybrano kolumn
> 
> tablety <- cbind(tablety, cena)
> tablety
                                      nazwa pamiec_RAM pamiec_wbudowana liczba_opini ocena status_opinii_1       cena
1                       Apple iPad Wi-FiCCZ          2              128            3     5            Mało 0.33233018
2                  Apple iPad mini 4 Wi-Fi           2               32            5     4         Śdernio 0.27214101
3           Apple iPad Wi-Fi 32GB MP2G2FD/A          2               16            0     2            Brak 0.11923187
4  Samsung Galaxy Tab 3 10.1 16GB GT-P5210           1              128            4     1         Śdernio 0.05746632
5         Apple iPad Wi-Fi + Cellular 128GB          2               32            8     4            Dużo 0.25938664
6                  Apple iPad Pro 9,7 Wi-Fi          1               32            1     2            Mało 0.40212095
7                        NavRoad Nexo 10 3G          2               32            2     1            Mało 0.00000000
8                             Apple iPad XD          2                4            3     5            Mało 0.01991975
9                            Apple iPad XII          2               16            1     1            Mało 0.06291201
10                           Apple iPad CDS          2               16            1     3            Mało 0.04858126
11                       Apple iPad Wi-Fi X          8              512            7     5            Dużo 1.00000000
12                       Apple iPad Wi-Fi 1          6              128            1     4            Mało 0.59529951
13                       Apple iPad Wi-Fi 2          4              254            4     5         Śdernio 0.10504443
14                       Apple iPad Wi-Fi 4          8               64            9     3     Bardzo duzo 0.16494698
> 
> net.price2 <- neuralnet(cena~pamiec_wbudowana+pamiec_RAM+liczba_opini+ocena,
+                        tablety, hidden = c(5,3,3), threshold = 0.01)
Błąd w poleceniu 'neuralnet(cena ~ pamiec_wbudowana + pamiec_RAM + liczba_opini + ':
  nie udało się znaleźć funkcji 'neuralnet'
> 
> plot(net.price2)
